Date,Team,Opp,BO,Pos,PA,H,2B,3B,HR,R,RBI,SB,CS,BB%,K%,ISO,BABIP,EV,AVG,OBP,SLG,wOBA,wRC+,Events,EV.1,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,location,at_bats,hard_hits,correct_hardhit%
8/8/23,NYY,CHW,2,DH,5.0,1,0,0,1,1,1,0,0,0.6,20.00%,1.5,0,109.1,0.5,0.8,2,0.818,450,1.0,109.1,109.1,39.5,1,100.00%,1,1.0,away,2.0,1.0,0.5
8/7/23,NYY,CHW,2,RF,5.0,2,1,0,0,1,0,0,0,0.2,20.00%,0.25,0.667,89.6,0.5,0.6,0.75,0.564,274,3.0,89.6,95.4,25.1,0,0.00%,1,0.333,away,4.0,1.0,0.25
8/6/23,NYY,HOU,2,DH,6.0,0,0,0,0,0,1,0,0,0.333,50.00%,0,0,88.5,0,0.333,0,0.232,44,1.0,88.5,88.5,-14.1,0,0.00%,0,0.0,home,4.002000000000001,0.0,0.0
8/5/23,NYY,HOU,2,RF,4.0,0,0,0,0,0,0,0,0,0.0,0.00%,0,0,100.9,0,0,0,0,-100,4.0,100.9,105.4,48.2,1,25.00%,3,0.75,home,4.0,3.0,0.75
8/3/23,NYY,HOU,2,DH,4.0,0,0,0,0,1,0,0,0,0.25,50.00%,0,0,79.2,0,0.25,0,0.174,4,1.0,79.2,79.2,52.4,0,0.00%,0,0.0,home,3.0,0.0,0.0
8/2/23,NYY,TBR,2,DH,4.0,1,0,0,0,0,0,0,0,0.0,0.00%,0,0.25,102.1,0.25,0.25,0.25,0.221,36,4.0,102.1,108.5,16.8,1,25.00%,3,0.75,home,4.0,3.0,0.75
8/1/23,NYY,TBR,2,DH,4.0,1,0,0,0,0,0,0,0,0.0,0.00%,0,0.25,98.2,0.25,0.25,0.25,0.221,36,4.0,98.2,115.5,14.5,2,50.00%,3,0.75,home,4.0,3.0,0.75
7/29/23,NYY,BAL,2,RF,5.0,3,0,0,1,2,2,0,0,0.0,20.00%,0.6,0.667,102.2,0.6,0.6,1.2,0.754,406,4.0,102.2,111.6,24.5,2,50.00%,3,0.75,away,5.0,3.0,0.6
7/28/23,NYY,BAL,2,DH,4.0,0,0,0,0,0,0,0,0,0.75,0.00%,0,0,104.4,0,0.75,0,0.522,245,1.0,104.4,104.4,15.7,0,0.00%,1,1.0,away,1.0,1.0,1.0
6/3/23,NYY,LAD,2,RF,4.0,1,0,0,1,1,1,0,0,0.25,25.00%,1,0,102.4,0.333,0.5,1.333,0.675,351,2.0,102.4,113.7,26.8,1,50.00%,1,0.5,away,3.0,1.0,0.33
6/2/23,NYY,LAD,2,RF,4.0,0,0,0,0,0,0,0,0,0.0,50.00%,0,0,85.4,0,0,0,0,-100,2.0,85.4,92.9,7.6,0,0.00%,0,0.0,away,4.0,0.0,0.0
5/31/23,NYY,SEA,2,DH,4.0,0,0,0,0,0,0,0,0,0.25,25.00%,0,0,110.2,0,0.25,0,0,-100,2.0,110.2,111.2,23.7,1,50.00%,2,1.0,away,3.0,2.0,0.67
5/30/23,NYY,SEA,2,RF,5.0,1,0,0,1,2,1,0,0,0.4,40.00%,1,0,106.3,0.333,0.6,1.333,0.679,354,1.0,106.3,106.3,37.6,1,100.00%,1,1.0,away,3.0,1.0,0.33
5/29/23,NYY,SEA,2,RF,5.0,3,1,0,2,3,3,0,0,0.2,0.00%,1.75,0.5,99.5,0.75,0.8,2.5,1.19,708,4.0,99.5,116.9,37,2,50.00%,3,0.75,away,4.0,3.0,0.75
5/28/23,NYY,SDP,2,RF,4.0,2,0,0,1,2,2,0,0,0.0,50.00%,0.75,1,110.8,0.5,0.5,1.25,0.722,383,2.0,110.8,111.1,24.4,1,50.00%,2,1.0,home,4.0,2.0,0.5
5/27/23,NYY,SDP,2,DH,4.0,1,0,0,0,1,0,0,0,0.0,25.00%,0,0.333,106.7,0.25,0.25,0.25,0.221,36,3.0,106.7,114.6,21.3,1,33.30%,3,1.0,home,4.0,3.0,0.75
5/26/23,NYY,SDP,2,RF,4.0,1,1,0,0,0,0,0,0,0.0,75.00%,0.25,1,92.3,0.25,0.25,0.5,0.311,99,1.0,92.3,92.3,25.9,0,0.00%,0,0.0,home,4.0,0.0,0.0
5/25/23,NYY,BAL,2,RF,4.0,0,0,0,0,1,0,0,0,0.25,25.00%,0,0,98.6,0,0.25,0,0.174,4,2.0,98.6,101.6,1.8,0,0.00%,2,1.0,home,3.0,2.0,0.67
5/24/23,NYY,BAL,2,RF,5.0,0,0,0,0,0,0,0,0,0.6,0.00%,0,0,90.6,0,0.6,0,0.418,173,2.0,90.6,101.7,51.6,0,0.00%,1,0.5,home,2.0,1.0,0.5
5/23/23,NYY,BAL,2,RF,5.0,1,0,0,1,1,1,0,0,0.2,0.00%,0.75,0,96.5,0.25,0.4,1,0.54,257,4.0,96.5,106.6,27.5,1,25.00%,2,0.5,home,4.0,2.0,0.5
5/20/23,NYY,CIN,2,DH,5.0,4,1,0,0,1,3,0,0,0.2,0.00%,0.25,1,98.7,1,1,1.25,0.917,519,4.0,98.7,115.1,14.1,2,50.00%,2,0.5,away,4.0,2.0,0.5
5/19/23,NYY,CIN,2,CF-RF,5.0,1,0,0,1,2,1,0,0,0.2,40.00%,0.75,0,101.5,0.25,0.4,1,0.54,257,2.0,101.5,109.6,47.8,1,50.00%,1,0.5,away,4.0,1.0,0.25
5/18/23,NYY,TOR,2,DH,4.0,2,1,0,1,1,2,0,0,0.0,25.00%,1,0.5,104.8,0.5,0.5,1.5,0.812,446,3.0,104.8,110.3,27.3,2,66.70%,2,0.667,away,4.0,2.0,0.5
5/17/23,NYY,TOR,2,RF,5.0,1,0,0,0,0,0,1,0,0.4,20.00%,0,0.5,90.6,0.333,0.6,0.333,0.395,157,2.0,90.6,90.6,-26.4,0,0.00%,0,0.0,away,3.0,0.0,0.0
5/16/23,NYY,TOR,2,DH,5.0,1,0,0,1,1,2,0,0,0.0,60.00%,0.6,0,103.1,0.2,0.2,0.8,0.401,161,2.0,103.1,113.1,13.2,1,50.00%,1,0.5,away,5.0,1.0,0.2
5/15/23,NYY,TOR,2,RF,5.0,2,0,0,2,2,3,0,0,0.6,0.00%,3,0,108.5,1,1,4,1.35,819,2.0,108.5,114.9,26.4,2,100.00%,2,1.0,away,2.0,2.0,1.0
5/14/23,NYY,TBR,2,RF,5.0,1,0,0,0,0,1,0,0,0.0,40.00%,0,0.333,98.6,0.2,0.2,0.2,0.177,5,3.0,98.6,111.9,28.2,1,33.30%,2,0.667,home,5.0,2.0,0.4
5/13/23,NYY,TBR,2,DH,5.0,2,0,0,2,2,4,0,0,0.2,20.00%,1.5,0,108.7,0.5,0.6,2,0.941,535,3.0,108.7,113.5,30.2,3,100.00%,3,1.0,home,4.0,3.0,0.75
5/12/23,NYY,TBR,2,RF,4.0,0,0,0,0,1,0,0,0,0.25,25.00%,0,0,74.2,0,0.25,0,0.174,4,2.0,74.2,78.8,36.2,0,0.00%,0,0.0,home,3.0,0.0,0.0
5/11/23,NYY,TBR,2,RF,4.0,0,0,0,0,0,0,0,0,0.0,75.00%,0,0,109.3,0,0,0,0,-100,1.0,109.3,109.3,-1.9,0,0.00%,1,1.0,home,4.0,1.0,0.25
5/10/23,NYY,OAK,2,DH,5.0,3,1,0,0,2,0,0,0,0.2,20.00%,0.25,1,99.8,0.75,0.8,1,0.741,397,3.0,99.8,115.2,21.3,1,33.30%,2,0.667,home,4.0,2.0,0.5
5/9/23,NYY,OAK,2,RF,5.0,0,0,0,0,1,2,0,0,0.2,0.00%,0,0,90.1,0,0.2,0,0.139,-20,4.0,90.1,109.3,15.3,1,25.00%,1,0.25,home,4.0,1.0,0.25
4/26/23,NYY,MIN,2,DH,5.0,3,2,0,0,1,3,0,1,0.2,20.00%,0.5,1,102.4,0.75,0.8,1.25,0.813,447,3.0,102.4,107.1,15.9,1,33.30%,3,1.0,away,4.0,3.0,0.75
4/25/23,NYY,MIN,3,CF,4.0,1,0,0,0,1,0,0,0,0.0,0.00%,0,0.25,96.5,0.25,0.25,0.25,0.221,36,4.0,96.5,104.7,9,0,0.00%,2,0.5,away,4.0,2.0,0.5
4/24/23,NYY,MIN,2,DH,4.0,1,1,0,0,0,0,0,0,0.0,25.00%,0.25,0.333,97.1,0.25,0.25,0.5,0.311,99,3.0,97.1,102.6,24.3,1,33.30%,2,0.667,away,4.0,2.0,0.5
4/23/23,NYY,TOR,2,RF,4.0,0,0,0,0,0,0,0,0,0.0,25.00%,0,0,90.9,0,0,0,0,-100,3.0,90.9,101.2,-5.2,0,0.00%,2,0.667,home,4.0,2.0,0.5
4/22/23,NYY,TOR,2,CF,4.0,0,0,0,0,0,0,0,0,0.0,25.00%,0,0,90.5,0,0,0,0,-100,3.0,90.5,105.2,12.9,1,33.30%,2,0.667,home,4.0,2.0,0.5
