"game_id","play_id","half","shooter","shot_outcome","shooter_team","shot_outcome_numeric","shot_sequence","previous_shots"
401168435,17,1,"Collin Gillespie","missed","Villanova",-1,-1,-1
401168331,17,1,"Jeremiah Robinson-Earl","missed","Villanova",-1,-1,0
401168306,17,1,"Bryce Nze","missed","Butler",-1,-2,-1
401168452,17,1,"Myles Powell","missed","Seton Hall",-1,-1,1
401168378,17,1,"Saddiq Bey","missed","Villanova",-1,-2,-1
401168404,17,1,"Saddiq Bey","missed","Villanova",-1,-1,1
401169778,18,1,"Saddiq Bey","made","Villanova",1,1,-1
401166061,18,1,"Justin Moore","missed","Villanova",-1,-1,0
401169779,18,1,"Jeremiah Robinson-Earl","made","Villanova",1,1,0
401185770,18,1,"Collin Gillespie","made","Villanova",1,1,0
401169782,18,1,"Jeremiah Robinson-Earl","missed","Villanova",-1,-1,0
401169783,18,1,"Collin Gillespie","made","Villanova",1,1,-1
401169784,18,1,"Nate Darling","made","Delaware",1,1,0
401169661,18,1,"Ochai Agbaji","missed","Kansas",-1,-1,0
401169785,18,1,"Naji Marshall","made","Xavier",1,1,-1
401168413,18,1,"Markus Howard","made","Marquette",1,1,0
401168325,18,1,"Jeremiah Robinson-Earl","missed","Villanova",-1,-1,1
401168396,18,1,"Omer Yurtseven","made","Georgetown",1,1,-1
401168352,18,1,"Jeremiah Robinson-Earl","made","Villanova",1,1,0
401168468,18,1,"Justin Moore","missed","Villanova",-1,-1,0
401168419,18,1,"Saddiq Bey","made","Villanova",1,1,-1
401168378,18,1,"Saddiq Bey","made","Villanova",1,1,-2
401169786,18,1,"Jermaine Samuels","missed","Villanova",-1,-1,1
401168470,18,1,"LJ Figueroa","missed","St. John's",-1,-3,-2
401168454,18,1,"Myles Cale","missed","Seton Hall",-1,-1,0
401169779,19,1,"Jason Preston","missed","Ohio",-1,-1,-1
401182609,19,1,"Iverson Molinar","missed","Mississippi State",-1,-1,1
401185770,19,1,"Collin Gillespie","made","Villanova",1,2,1
401169781,19,1,"Saddiq Bey","missed","Villanova",-1,-2,-1
401169783,19,1,"Lorenzo Edwards","missed","Saint Joseph's",-1,-1,0
401169784,19,1,"Saddiq Bey","made","Villanova",1,1,0
401169785,19,1,"Saddiq Bey","missed","Villanova",-1,-2,-1
401168396,19,1,"Cole Swider","missed","Villanova",-1,-1,0
401168352,19,1,"Charlie Moore","missed","DePaul",-1,-2,-1
